algorithm,trial,stateCoverage,transitionCoverage,itdr,eventsConsumed,durationMs
B1_Random,0,1,0.64,0.6571428571428571,500,1
B1_Random,1,0.7,0.44,0.4095238095238095,500,0
B1_Random,2,0.6,0.32,0.45714285714285713,500,0
B1_Random,3,0.7,0.44,0.4857142857142857,500,1
B1_Random,4,0.7,0.44,0.49523809523809526,500,0
B1_Random,5,1,0.64,0.6190476190476191,500,0
B1_Random,6,0.7,0.44,0.3904761904761905,500,1
B1_Random,7,1,0.56,0.4857142857142857,500,0
B1_Random,8,0.7,0.44,0.4380952380952381,500,0
B1_Random,9,0.5,0.28,0.37142857142857144,500,0
B1_Random,10,0.8,0.44,0.49523809523809526,500,1
B1_Random,11,0.9,0.52,0.47619047619047616,500,0
B1_Random,12,1,0.68,0.6952380952380952,500,0
B1_Random,13,1,0.64,0.6190476190476191,500,0
B1_Random,14,0.7,0.48,0.6095238095238096,500,0
B1_Random,15,0.6,0.36,0.4,500,1
B1_Random,16,0.7,0.4,0.41904761904761906,500,0
B1_Random,17,0.6,0.36,0.45714285714285713,500,0
B1_Random,18,0.7,0.44,0.5523809523809524,500,0
B1_Random,19,0.5,0.28,0.3523809523809524,500,0
B1_Random,20,0.7,0.4,0.5523809523809524,500,1
B1_Random,21,0.5,0.28,0.34285714285714286,500,0
B1_Random,22,0.9,0.4,0.5047619047619047,500,0
B1_Random,23,0.9,0.52,0.5428571428571428,500,0
B1_Random,24,1,0.52,0.6857142857142857,500,0
B1_Random,25,0.9,0.56,0.6095238095238096,500,0
B1_Random,26,0.7,0.44,0.5047619047619047,500,0
B1_Random,27,1,0.6,0.5714285714285714,500,0
B1_Random,28,0.7,0.4,0.4857142857142857,500,1
B1_Random,29,0.7,0.4,0.4095238095238095,500,0
B2_GreedySC,0,1,0.88,0.47619047619047616,500,4
B2_GreedySC,1,1,0.72,0.42857142857142855,500,3
B2_GreedySC,2,1,0.6,0.41904761904761906,500,4
B2_GreedySC,3,1,0.8,0.5047619047619047,500,2
B2_GreedySC,4,1,0.72,0.47619047619047616,500,3
B2_GreedySC,5,1,0.88,0.5523809523809524,500,3
B2_GreedySC,6,1,0.88,0.5047619047619047,500,4
B2_GreedySC,7,1,0.76,0.45714285714285713,500,3
B2_GreedySC,8,1,0.8,0.5523809523809524,500,5
B2_GreedySC,9,1,0.84,0.45714285714285713,500,2
B2_GreedySC,10,1,0.72,0.44761904761904764,500,2
B2_GreedySC,11,1,0.84,0.49523809523809526,500,2
B2_GreedySC,12,1,0.64,0.4,500,2
B2_GreedySC,13,1,0.72,0.47619047619047616,500,2
B2_GreedySC,14,1,0.72,0.4857142857142857,500,2
B2_GreedySC,15,1,0.88,0.5142857142857142,500,2
B2_GreedySC,16,1,0.84,0.5047619047619047,500,2
B2_GreedySC,17,1,0.8,0.4666666666666667,500,2
B2_GreedySC,18,1,0.88,0.44761904761904764,500,2
B2_GreedySC,19,1,0.76,0.4857142857142857,500,2
B2_GreedySC,20,1,0.84,0.5523809523809524,500,2
B2_GreedySC,21,1,0.72,0.4,500,2
B2_GreedySC,22,1,0.68,0.47619047619047616,500,3
B2_GreedySC,23,1,0.8,0.47619047619047616,500,2
B2_GreedySC,24,1,0.92,0.5142857142857142,500,2
B2_GreedySC,25,1,0.84,0.4857142857142857,500,2
B2_GreedySC,26,1,0.72,0.42857142857142855,500,2
B2_GreedySC,27,1,0.76,0.4666666666666667,500,2
B2_GreedySC,28,1,0.64,0.4666666666666667,500,2
B2_GreedySC,29,1,0.88,0.4380952380952381,500,2
B3_MDT,0,1,1,0.9142857142857143,500,2
B3_MDT,1,1,1,0.9428571428571428,500,2
B3_MDT,2,1,1,0.9523809523809523,500,1
B3_MDT,3,1,1,0.9428571428571428,500,2
B3_MDT,4,1,1,0.9619047619047619,500,1
B3_MDT,5,1,1,0.9523809523809523,500,1
B3_MDT,6,1,1,0.9142857142857143,500,1
B3_MDT,7,1,1,0.9428571428571428,500,1
B3_MDT,8,1,1,0.9333333333333333,500,1
B3_MDT,9,1,1,0.9428571428571428,500,3
B3_MDT,10,1,1,0.9523809523809523,500,1
B3_MDT,11,1,1,0.9333333333333333,500,1
B3_MDT,12,1,1,0.9333333333333333,500,1
B3_MDT,13,1,1,0.9142857142857143,500,1
B3_MDT,14,1,1,0.9523809523809523,500,1
B3_MDT,15,1,1,0.9523809523809523,500,1
B3_MDT,16,1,1,0.9238095238095239,500,1
B3_MDT,17,1,1,0.9333333333333333,500,1
B3_MDT,18,1,1,0.9333333333333333,500,1
B3_MDT,19,1,1,0.9428571428571428,500,2
B3_MDT,20,1,1,0.9428571428571428,500,1
B3_MDT,21,1,1,0.9238095238095239,500,3
B3_MDT,22,1,1,0.9523809523809523,500,2
B3_MDT,23,1,1,0.9238095238095239,500,1
B3_MDT,24,1,1,0.9142857142857143,500,2
B3_MDT,25,1,1,0.9428571428571428,500,1
B3_MDT,26,1,1,0.9428571428571428,500,2
B3_MDT,27,1,1,0.9428571428571428,500,1
B3_MDT,28,1,1,0.9619047619047619,500,2
B3_MDT,29,1,1,0.9333333333333333,500,1
